epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.0208,1.31591,1.99977,1.09573,0.40172,0.54196,0.44537,0.30282,1.32711,1.13739,1.09608,0.000206755,0.000206755,0.000206755
2,101.293,1.1954,1.171,1.0406,0.5877,0.58318,0.56341,0.38995,1.28667,1.05118,1.09043,0.000394542,0.000394542,0.000394542
3,151.328,1.17035,1.00513,1.03531,0.66345,0.64297,0.68741,0.47603,1.28026,0.9568,1.09502,0.000561703,0.000561703,0.000561703
4,201.306,1.13482,0.89878,1.02025,0.66706,0.69189,0.74199,0.51826,1.25586,0.89901,1.07487,0.000532187,0.000532187,0.000532187
5,251.385,1.12913,0.83708,1.0183,0.75338,0.69415,0.77103,0.53771,1.24357,0.8552,1.07722,0.00050125,0.00050125,0.00050125
6,301.287,1.08208,0.77748,1.00087,0.76282,0.74721,0.81294,0.57171,1.24095,0.80025,1.06868,0.000470312,0.000470312,0.000470312
7,351.539,1.09132,0.76143,1.00771,0.79304,0.79855,0.8447,0.59603,1.21153,0.75181,1.06103,0.000439375,0.000439375,0.000439375
8,401.508,1.05332,0.72346,0.99215,0.80276,0.83615,0.87227,0.62096,1.19646,0.71167,1.06359,0.000408438,0.000408438,0.000408438
9,451.84,1.04563,0.69037,0.99277,0.84045,0.8026,0.87688,0.62604,1.1955,0.71598,1.05185,0.0003775,0.0003775,0.0003775
10,501.878,1.03103,0.66839,0.98325,0.8177,0.83913,0.88659,0.64216,1.18816,0.70363,1.0525,0.000346563,0.000346563,0.000346563
11,549.174,1.023,0.61119,0.98318,0.82057,0.8461,0.88137,0.63386,1.17417,0.6747,1.04587,0.000315625,0.000315625,0.000315625
12,596.192,1.0095,0.58491,0.98169,0.85305,0.85388,0.89827,0.6438,1.16514,0.65068,1.04053,0.000284688,0.000284688,0.000284688
13,643.17,0.99718,0.5703,0.97649,0.85923,0.86768,0.90286,0.64675,1.16872,0.64738,1.04493,0.00025375,0.00025375,0.00025375
14,690.119,0.9885,0.55408,0.97124,0.84027,0.86723,0.90126,0.654,1.16912,0.65164,1.04791,0.000222813,0.000222813,0.000222813
15,737.361,0.96595,0.54618,0.96644,0.88325,0.86288,0.92131,0.67149,1.15209,0.62297,1.03475,0.000191875,0.000191875,0.000191875
16,784.398,0.95823,0.52445,0.9638,0.86668,0.89214,0.92289,0.67263,1.14735,0.60226,1.03744,0.000160938,0.000160938,0.000160938
17,831.323,0.94889,0.51098,0.9609,0.8688,0.89775,0.92704,0.68468,1.13663,0.59347,1.02424,0.00013,0.00013,0.00013
18,878.095,0.93663,0.50095,0.95366,0.88337,0.88958,0.92687,0.68338,1.13168,0.58682,1.02176,9.90625e-05,9.90625e-05,9.90625e-05
19,925.039,0.9089,0.47987,0.94501,0.88465,0.90093,0.93126,0.69027,1.11971,0.57884,1.02066,6.8125e-05,6.8125e-05,6.8125e-05
20,971.98,0.91831,0.47602,0.94741,0.88165,0.90325,0.93122,0.69201,1.11645,0.57129,1.01854,3.71875e-05,3.71875e-05,3.71875e-05
